"dataset","model","prompt_type","num_samples","tflint_run_rate","trivy_run_rate","mean_tflint_total","mean_tflint_error","mean_tflint_warning","mean_tflint_notice","mean_tflint_info","mean_trivy_total","mean_trivy_critical","mean_trivy_high","mean_trivy_medium","mean_trivy_low","mean_trivy_unknown"
"llm_iac_paraphrased","claude-4.5-sonnet","few-shot","458","0.9847","1.0","2.5961","0.0","2.5961","0.0","0.0","9.179","0.9869","2.9585","2.6092","2.6245","0.0"
"llm_iac_paraphrased","claude-4.5-sonnet","zero-shot","140","0.85","0.1929","0.8357","0.0","0.8357","0.0","0.0","0.8714","0.1786","0.25","0.1714","0.2714","0.0"
"llm_iac_paraphrased","gemini-3-flash","cot","458","0.9607","0.9978","1.7882","0.0","1.7882","0.0","0.0","8.1266","0.6943","2.3777","2.3362","2.7183","0.0"
"llm_iac_paraphrased","gemini-3-flash","few-shot","458","0.976","1.0","2.5218","0.0","2.5218","0.0","0.0","7.6812","0.5873","2.4148","2.2336","2.4454","0.0"
"llm_iac_paraphrased","gemini-3-flash","zero-shot","458","0.9585","1.0","1.5524","0.0","1.5524","0.0","0.0","7.8362","0.6878","2.3166","2.2118","2.6201","0.0"
"llm_iac_paraphrased","gemma-3-27b","cot","458","0.952","0.9913","1.2948","0.0","1.2948","0.0","0.0","7.559","0.6528","2.3843","2.1048","2.417","0.0"
"llm_iac_paraphrased","gemma-3-27b","few-shot","458","0.9629","1.0","2.1769","0.0","2.1769","0.0","0.0","6.5371","0.4869","2.0808","2.0393","1.9301","0.0"
"llm_iac_paraphrased","gemma-3-27b","zero-shot","420","0.9333","1.0","1.2595","0.0","1.2595","0.0","0.0","6.4524","0.5119","2.1143","1.9357","1.8905","0.0"
"llm_iac_paraphrased","glm-4.7","cot","458","0.9454","1.0","2.4279","0.0","2.4279","0.0","0.0","8.1987","0.7838","2.5197","2.2424","2.6528","0.0"
"llm_iac_paraphrased","glm-4.7","few-shot","458","0.9716","1.0","2.9301","0.0","2.9301","0.0","0.0","7.9345","0.7118","2.5","2.1987","2.524","0.0"
"llm_iac_paraphrased","glm-4.7","zero-shot","40","0.775","0.2","1.4","0.0","1.4","0.0","0.0","1.075","0.0","0.4","0.475","0.2","0.0"
"llm_iac_paraphrased","grok-4.1-fast","cot","100","0.94","0.96","0.55","0.0","0.55","0.0","0.0","7.19","0.67","2.47","1.63","2.42","0.0"
"llm_iac_paraphrased","grok-4.1-fast","few-shot","120","0.9417","0.325","2.8167","0.0","2.8167","0.0","0.0","2.5583","0.2417","0.5917","0.825","0.9","0.0"
"llm_iac_paraphrased","grok-4.1-fast","zero-shot","458","0.9367","1.0","0.7948","0.0","0.7948","0.0","0.0","9.2598","0.917","2.5502","2.4236","3.369","0.0"
"llm_iac_paraphrased","kimi-k2.5","cot","458","0.9083","1.0","1.1528","0.0","1.1528","0.0","0.0","7.5633","1.0677","2.5109","1.9607","2.024","0.0"
