scenario_id,model,prompt_type,dataset,ics,n_constraints
iac_eval_0312,claude-4.5-sonnet,zero-shot,iac_eval,0.5,2
iac_eval_0313,claude-4.5-sonnet,zero-shot,iac_eval,0.5,2
iac_eval_0314,claude-4.5-sonnet,zero-shot,iac_eval,0.5,2
iac_eval_0315,claude-4.5-sonnet,zero-shot,iac_eval,0.5,2
iac_eval_0316,claude-4.5-sonnet,zero-shot,iac_eval,0.6666666666666666,3
iac_eval_0317,claude-4.5-sonnet,zero-shot,iac_eval,1.0,4
iac_eval_0318,claude-4.5-sonnet,zero-shot,iac_eval,1.0,4
iac_eval_0319,claude-4.5-sonnet,zero-shot,iac_eval,0.75,4
iac_eval_0320,claude-4.5-sonnet,zero-shot,iac_eval,0.6666666666666666,3
iac_eval_0321,claude-4.5-sonnet,zero-shot,iac_eval,0.25,4
iac_eval_0322,claude-4.5-sonnet,zero-shot,iac_eval,0.75,4
iac_eval_0323,claude-4.5-sonnet,zero-shot,iac_eval,0.6666666666666666,6
iac_eval_0324,claude-4.5-sonnet,zero-shot,iac_eval,1.0,6
iac_eval_0325,claude-4.5-sonnet,zero-shot,iac_eval,1.0,6
iac_eval_0326,claude-4.5-sonnet,zero-shot,iac_eval,1.0,16
iac_eval_0327,claude-4.5-sonnet,zero-shot,iac_eval,1.0,16
iac_eval_0328,claude-4.5-sonnet,zero-shot,iac_eval,1.0,16
iac_eval_0329,claude-4.5-sonnet,zero-shot,iac_eval,1.0,16
iac_eval_0330,claude-4.5-sonnet,zero-shot,iac_eval,1.0,13
iac_eval_0331,claude-4.5-sonnet,zero-shot,iac_eval,1.0,13
iac_eval_0332,claude-4.5-sonnet,zero-shot,iac_eval,1.0,11
iac_eval_0333,claude-4.5-sonnet,zero-shot,iac_eval,1.0,12
iac_eval_0334,claude-4.5-sonnet,zero-shot,iac_eval,1.0,16
iac_eval_0335,claude-4.5-sonnet,zero-shot,iac_eval,1.0,16
iac_eval_0336,claude-4.5-sonnet,zero-shot,iac_eval,1.0,18
iac_eval_0337,claude-4.5-sonnet,zero-shot,iac_eval,1.0,16
iac_eval_0338,claude-4.5-sonnet,zero-shot,iac_eval,1.0,6
iac_eval_0339,claude-4.5-sonnet,zero-shot,iac_eval,1.0,7
iac_eval_0340,claude-4.5-sonnet,zero-shot,iac_eval,1.0,8
iac_eval_0341,claude-4.5-sonnet,zero-shot,iac_eval,1.0,6
iac_eval_0342,claude-4.5-sonnet,zero-shot,iac_eval,1.0,7
iac_eval_0343,claude-4.5-sonnet,zero-shot,iac_eval,1.0,6
iac_eval_0344,claude-4.5-sonnet,zero-shot,iac_eval,1.0,7
iac_eval_0345,claude-4.5-sonnet,zero-shot,iac_eval,1.0,7
iac_eval_0346,claude-4.5-sonnet,zero-shot,iac_eval,1.0,6
iac_eval_0347,claude-4.5-sonnet,zero-shot,iac_eval,1.0,6
iac_eval_0348,claude-4.5-sonnet,zero-shot,iac_eval,1.0,8
iac_eval_0349,claude-4.5-sonnet,zero-shot,iac_eval,1.0,6
iac_eval_0350,claude-4.5-sonnet,zero-shot,iac_eval,1.0,3
iac_eval_0351,claude-4.5-sonnet,zero-shot,iac_eval,1.0,3
iac_eval_0352,claude-4.5-sonnet,zero-shot,iac_eval,1.0,3
iac_eval_0353,claude-4.5-sonnet,zero-shot,iac_eval,0.5,6
iac_eval_0354,claude-4.5-sonnet,zero-shot,iac_eval,0.5,6
iac_eval_0355,claude-4.5-sonnet,zero-shot,iac_eval,0.5,6
iac_eval_0356,claude-4.5-sonnet,zero-shot,iac_eval,0.5,6
iac_eval_0357,claude-4.5-sonnet,zero-shot,iac_eval,0.5,6
iac_eval_0366,claude-4.5-sonnet,zero-shot,iac_eval,0.0,1
iac_eval_0367,claude-4.5-sonnet,zero-shot,iac_eval,0.0,1
iac_eval_0368,claude-4.5-sonnet,zero-shot,iac_eval,0.0,2
iac_eval_0369,claude-4.5-sonnet,zero-shot,iac_eval,0.0,1
iac_eval_0370,claude-4.5-sonnet,zero-shot,iac_eval,0.0,1
iac_eval_0376,claude-4.5-sonnet,zero-shot,iac_eval,0.0,1
iac_eval_0381,claude-4.5-sonnet,zero-shot,iac_eval,0.0,1
iac_eval_0382,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0383,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0387,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0389,claude-4.5-sonnet,zero-shot,iac_eval,1.0,2
iac_eval_0390,claude-4.5-sonnet,zero-shot,iac_eval,0.0,2
